"video_id","trending_date","title","channel_title","category_id","publish_time","tags","views","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","video_error_or_removed","description","region"
"YaOnEIvIsMc","18.13.02","3 СУПЕР загадки с Ответами | ЗАДАЧИ на логику и ГОЛОВОЛОМКИ | БУДЬ В КУРСЕ TV","БУДЬ В КУРСЕ TV","24","2018-02-12T09:11:09.000Z","""супер загадки|""""закадки""""|""""детективные загадки""""|""""головоломки""""|""""задачи на логику""""|""""детектив""""|""""логика""""|""""загадки на логику""""|""""загадка""""|""""логические загадки""""|""""на логику""""|""""дедукция""""|""""развить логику""""|""""тест""""|""""расследование""""|""""загадки с подвохом""""|""""загадки с ответами""""|""""логические задачи""""|""""криминальные загадки""""|""""будь в курсе tv""""|""""будь в курсе умные факты""""|""""будь в курсе""""""","11998","383","42","78","https://i.ytimg.com/vi/YaOnEIvIsMc/default.jpg","false","false","false","""Перед вами три крутых загадки с подвохом. В некоторых из них есть лишнюю информация","ru"
"YnFQVvTaQYE","18.13.02","СМЕРТЕЛЬНЫЙ УДАР КРЕМЛЯ ПО ГРУДИНИНУ?","КРИМИНАЛЬНАЯ РОССИЯ","23","2018-02-11T19:04:38.000Z","""Грудинин|""""президент""""|""""Путин""""|""""Жириновский""""|""""Соловьев""""|""""выборы""""|""""2018""""|""""кандидат""""|""""выборы 2018""""|""""выборы президента""""""","213520","9141","9665","3193","https://i.ytimg.com/vi/YnFQVvTaQYE/default.jpg","false","false","false","http://bio-kamin24.ru/catalog/elektrokaminy-c-3d-ehffektom - Интернет магазин 3D электрокаминов с эффектом живого огня.\n\n\n\nГрудинин выборы 2018\nГрудинин кандидат в президенты\nГрудинин выборы президента 2018\nГрудинин выборы 2018\nГрудинин кандидат в президенты\nГрудинин выборы президента 2018\nГрудинин выборы 2018\nГрудинин кандидат в президенты\nГрудинин выборы президента 2018\nГрудинин выборы 2018\nГрудинин кандидат в президенты\nГрудинин выборы президента 2018\nГрудинин выборы 2018\nГрудинин кандидат в президенты\nГрудинин выборы президента 2018\nГрудинин выборы 2018\nГрудинин кандидат в президенты\nГрудинин выборы президента 2018\nГрудинин выборы 2018\nГрудинин кандидат в президенты\nГрудинин выборы президента 2018\nГрудинин выборы 2018\nГрудинин кандидат в президенты\nГрудинин выборы президента 2018\nГрудинин выборы 2018\nГрудинин кандидат в президенты\nГрудинин выборы президента 2018\nГрудинин выборы 2018\nГрудинин кандидат в президенты\nГрудинин выборы президента 2018\nГрудинин выборы 2018\nГрудинин кандидат в президенты\nГрудинин выборы президента 2018\nГрудинин выборы 2018\nГрудинин кандидат в президенты\nГрудинин выборы президента 2018\nГрудинин выборы 2018\nГрудинин кандидат в президенты\nГрудинин выборы президента 2018\nГрудинин выборы 2018\nГрудинин кандидат в президенты\nГрудинин выборы президента 2018","ru"
"I4I1-NdotA4","18.13.02","""С МАСЛЕНИЦЕЙ ДРУЗЬЯ"," ВКУСНЫЕ БЕЛЯШИ | Arina Belaja""",,"22","2018-02-12T10:00:01.000Z",,"7441","0","0","77",,"false","true","FALSE","ru"
"0TGO_tya5Ws","18.13.02","""Олег Дерипаска"," Сергей Приходько и Настя Рыбка: вечер перестает быть томным!""",,"25","2018-02-11T13:35:24.000Z",,"30144","1350","59","299",,"false","false","FALSE","ru"
"SPauxWv1Rnk","18.14.02","""Поперечный - о цензуре"," геях и чувствах верующих / вДудь""",,"22","2018-02-13T14:30:05.000Z",,"1641004","146837","7987","20383",,"false","false","FALSE","ru"
"sr8fjIXygWU","18.14.02","""Элджей - Hey"," Guys""",,"10","2018-02-13T17:28:18.000Z",,"379822","26843","13478","4365",,"false","false","FALSE","ru"
"M86Wgryxdm8","18.14.02","Стас Давыдов - ДЕНЬ СВ. ВАЛЕНТИНА (Я БУДУ...) премьера клипа","Джингл Джангл","10","2018-02-13T15:28:59.000Z","""14 февраля|""""14""""|""""февраль""""|""""2018""""|""""Стас давыдов""""|""""this is хорошо""""|""""День святого Валентина""""|""""день валентина""""|""""песня""""|""""клип""""|""""музыкальное видео""""|""""святой валентин""""|""""valentines day""""|""""st. Valentines day""""|""""SOLO""""|""""han solo""""|""""я буду""""|""""смешное видео""""|""""день влюбленных""""|""""день всех влюбленных""""|""""день святого валентина""""|""""смешные видео""""|""""official""""|""""Стас Давыдов""""|""""song""""|""""музыка""""|""""премьера""""|""""премьера клипа""""|""""видео поздравление""""|""""valentines""""|""""valentine""""|""""valentine's day""""|""""music video""""|""""official video""""|""""новинка""""|""""соболев""""|""""николай соболев""""""","95202","21023","1011","1253","https://i.ytimg.com/vi/M86Wgryxdm8/default.jpg","false","false","false","""Поздравляем с 14 февраля всех влюблённых и не только. ;)\nПодписывайтесь на канал","ru"
"eHllKhSyxPM","18.14.02","Вы готовы ловить жуликов за руку?","Алексей Навальный","29","2018-02-13T11:55:06.000Z","""выборы 2018|""""наблюдение""""|""""фальсификации""""|""""навальный""""|""""пора наблюдать""""""","1112621","137974","20865","30985","https://i.ytimg.com/vi/eHllKhSyxPM/default.jpg","false","false","false","""Если и есть что-то на этих выборах важное","ru"
"U6QQRsnBa-Q","18.14.02","13.02.2018г. Базель - Манчестер Сити - 0:4. Обзор первого матча 1/8 Лиги чемпионов","Матч ТВ","17","2018-02-13T22:30:22.000Z","""Лига Чемпионов|""""ЛЧ""""|""""Футбол""""|""""Гол""""|""""Обзор матча""""|""""Обзор""""|""""Голы""""|""""Лучшие моменты""""|""""Матч ТВ""""|""""МатчТВ""""|""""манчестер сити""""|""""базель""""|""""агуэро""""|""""стерлинг""""|""""гюндоган""""|""""гвардиола""""|""""sp:ty=high""""|""""sp:dt=2018-02-13T19:45:00+00:00""""|""""sp:vl=ru-RU""""|""""sp:st=soccer""""|""""sp:li=chlg""""|""""sp:ti:home=FCBL""""|""""sp:ti:away=MANC""""""","71812","1746","116","170","https://i.ytimg.com/vi/U6QQRsnBa-Q/default.jpg","false","false","false","""Статистика матча: \nhttps://news.sportbox.ru/Vidy_sporta/Futbol/Liga_Chempionov/stats/turnir_13679/game_1380648653\n\nПодписаться на канал: https://www.youtube.com/channel/UCtetJiD_llxdGL4Uh5-Oe2w?sub_confirmation=1\n\nЧтобы получать уведомления о новых видео","ru"
"I3D06MYBBQE","18.14.02","ПЕСНИ КОТОРЫЕ СТАЛИ МЕМАМИ (ВТОРАЯ ЧАСТЬ)","Палата 6","23","2018-02-13T13:40:26.000Z","""музыкальный топ|""""музыкальная подборка""""|""""мем""""|""""песни мемы""""|""""новый мем""""|""""know your meme""""|""""мем песня""""|""""заедающие песни""""|""""назойливые песни""""|""""новый клип""""|""""палата""""|""""палата топ""""|""""щёлк""""|""""палата 6""""|""""юмор""""|""""анимация""""|""""remove kebab""""|""""HEYYEYAAEYAAAEYAEYAA""""|""""мистер наклз""""|""""uganda""""|""""darude sandstorm""""|""""sandstorm""""|""""you spin me round""""|""""harlem shake""""|""""сэндсторм""""|""""даруд сэндсторм""""|""""хи-мен""""|""""мем хи-мен""""|""""харлем шейк""""|""""мем негр""""|""""мем негр стреляет""""|""""the ting goes""""|""""man's not hot""""|""""мем рэпер""""|""""вайны""""|""""ютуб пупы""""""","508354","40973","1634","8744","https://i.ytimg.com/vi/I3D06MYBBQE/default.jpg","false","false","false","""Первая часть: www.youtube.com/watch?v=whWlrjzbMY0\n\nЩёлк!\n И снова на канале Палата 6 самые мемасные песенки всех времен! Мемы","ru"
"fUyU3lKzoio","18.14.02","""Hey Buddy"," Can You Give Me a Hand?""",,"28","2018-02-12T20:00:03.000Z",,"4785795","135178","4026","24787",,"false","false","FALSE","ru"
"fn3DQ70rDGI","18.14.02","""HomePod - умная колонка от Apple: эпичная распаковка и сравнение с B&W"," B&O",,"Wylsacom","28",,,"741620","127296","5784",,,"false","FALSE","ru"
"uIBfd-88AZQ","18.14.02","""WYLSACOM"," АСТАНАВИСЬ!""",,"28","2018-02-13T13:57:36.000Z",,"983809","150988","7475","19439",,"false","false","FALSE","ru"
"uC9WVKTb88A","18.14.02","Крушение Ан-148│ Все версии","Сила Слова","25","2018-02-12T18:31:58.000Z","""Крушение|""""Ан-148""""|""""версии""""|""""новости""""|""""самолет""""|""""россия""""""","391765","1626","2319","1170","https://i.ytimg.com/vi/uC9WVKTb88A/default.jpg","false","false","false","""ПРИЯТНОГО ПРОСМОТРА! РЕПОСТИМ","ru"
"UbmrnsgNgNw","18.14.02","Говорю ЭЩКЕРЕ МИЛЛИОН РАЗ","Den Schmalz","24","2018-02-13T12:00:03.000Z","""эшкере|""""фейс""""|""""миллион""""|""""миллион раз""""|""""100000 раз""""|""""1000000""""|""""эщкере""""|""""face""""|""""фейс клипы""""|""""фейс бургер""""|""""фейс я роняю запад""""|""""фейс и марьяна""""|""""фейс и марьяна ро""""|""""фейс 24/7""""|""""эщикере""""|""""lil pump""""|""""esketit""""|""""что такое эщкере""""|""""лил памп""""|""""я роняю запад""""|""""бургер""""|""""рэп""""|""""gucci""""|""""gucci gang""""|""""фэйс""""|""""гуччи""""|""""марьяна ро""""|""""pharaoh""""|""""клип""""|""""мемы""""|""""реп""""|""""пародия""""|""""lil pump d rose""""|""""что такое эшкере""""|""""эщкере лил памп""""|""""face я роняю запад""""|""""что такое esketit""""|""""face и марьяна ро""""""","94743","7821","4320","792","https://i.ytimg.com/vi/UbmrnsgNgNw/default.jpg","false","false","false","эщкере и все дела\n●  Я в vk: http://vk.com/den_schmalz\n● Twitter: https://twitter.com/DenisSchmalz\n● instagram: http://instagram.com/schmalzddd\n\nПо вопросам сотрудничества: schmalz@hypeagency.ru","ru"
"FuBSwUl16VY","18.14.02","Итальянцы смотрят клипы Little Big Family","Итальянцы by Kuzno Productions","24","2018-02-13T17:31:29.000Z","""итальянцы смотрят|""""итальянцы слушают""""|""""иностранцы смотрят""""|""""иностранцы слушают""""|""""эмоциональные итальянцы""""|""""реакции итальянцев""""|""""куцно""""|""""кузно""""|""""kuzno""""|""""реакции""""""","170939","23099","2235","3090","https://i.ytimg.com/vi/FuBSwUl16VY/default.jpg","false","false","false","""Видео","ru"
"1NvXEfmpJ2o","18.14.02","Посвящается рейсу Москва-Орск самолету Ан-148 саратовских авиалиний","Евгений Петров","22","2018-02-12T16:03:43.000Z","""Ан-148|""""Авиация""""|""""Авиакатастрофа""""|""""авиатрагедия""""|""""Орск""""|""""Саратов""""|""""Саратовскиеавиалинии""""|""""аэрапорт""""""","267934","3393","686","1132","https://i.ytimg.com/vi/1NvXEfmpJ2o/default.jpg","false","false","false","""Так хочется жить","ru"
"duLstlk2GhQ","18.14.02","Хронология уничтожения ЧВК Вагнера","Геополитика онлайн","25","2018-02-13T07:11:06.000Z","[none]","428000","0","0","4690","https://i.ytimg.com/vi/duLstlk2GhQ/default.jpg","false","true","false","","ru"
"fPpHb7uQA9g","18.14.02","Крушение Ан-148 сняла частная Камера","10klass","22","2018-02-11T19:57:42.000Z","""крушение|""""ан148""""|""""сняла""""|""""мособласти""""|""""подмосковье""""|""""самолет""""|""""разбился""""|""""упал""""|""""москва""""|""""новости""""|""""рухнул""""|""""россия""""|""""оренбург""""|""""двигатель""""|""""лайнер""""""","2768831","4599","7329","4257","https://i.ytimg.com/vi/fPpHb7uQA9g/default.jpg","false","false","false","Камера наблюдения на частном доме сняла крушение самолёта Ан-148 в Мособласти.\nБольше информации В Telegtam и VK ссылки ниже \nTelegtam : https://t.me/pub10klass10\nVuly : https://viuly.io/channel/30385\nVK - https://vk.com/pub10klass10\nБесплатный Bitcon - https://freebitco.in/?r=8878064\n\nРекламные вопросы: bobikopik@mail.ru","ru"
"AiFmfuntvc4","18.14.02","""Гарри Поттер в России (Переозвучка"," смешная озвучка)""",,"23","2018-02-13T13:49:09.000Z",,"327822","39455","715","1308",,"false","false","FALSE","ru"
"Slh8aQp5XmI","18.14.02","""Qutqaring"," sevib qoldim! (uzbek kino) | Қутқаринг",,"navo.tv","1",,,"302533","4615","809",,,"false","FALSE","ru"
"rHBtwRxLamY","18.14.02","Лабиринты. 6 серия (2018) Новая мелодрама @ Русские сериалы","Русские сериалы","43","2018-02-13T20:00:05.000Z","""Лабиринты|""""Лабиринты 6 серия""""|""""Лабиринты сериал""""|""""Лабиринты сериал 2018""""|""""Лабиринты сериал смотреть""""|""""Лабиринты сериал смотреть онлайн""""|""""Новая мелодрама""""|""""Русские сериалы""""|""""Новые сериалы 2018""""|""""Русские мелодрамы""""|""""мелодрамы на канале Россия""""|""""усыновление""""|""""Елена Вожакина""""|""""Татьяна Лютаева""""|""""воспитывать чужого ребенка""""|""""Стефан Отто""""|""""Полина Филоненко""""|""""тайная семья""""|""""Дмитрий Пчела""""|""""Роман Полянский""""|""""мелодрамы 2018""""|""""чужой ребенок""""|""""другая семья""""|""""премьеры 2018""""|""""взять ребенка на воспитание""""|""""опека""""""","45211","209","41","21","https://i.ytimg.com/vi/rHBtwRxLamY/default.jpg","false","false","false","""Новые сериал 2018","ru"
"KiUOuNjBzeI","18.14.02","Деньги или Позор. Сезон 2. Выпуск №4. Азамат Мусагалиев (05.02.18г.)","ТНТ4 Телеканал","23","2018-02-13T09:00:01.000Z","""ТНТ4|""""Деньги или Позор""""|""""Деньги или Позор смотреть""""|""""Деньги или Позор звёзды""""|""""Деньги или Позор новый сезон смотреть""""|""""новый сезон""""|""""второй сезон""""|""""Ревва""""|""""Юнусов""""|""""Мусагалиев""""|""""Сысоева""""|""""Беркова""""|""""Гудков""""|""""Шаляпин""""|""""Серябкина""""|""""юмор""""|""""шутки""""|""""дядя витя""""|""""шоу""""|""""Александр Ревва""""|""""Деньги или Позор Ревва""""|""""comedy club""""|""""комедийное шоу""""|""""выпуск 4""""|""""деньги или позор азамат""""|""""азамат мусагалиев""""|""""деньги или позор выпуск 4""""|""""сезон 2 выпуск 4""""|""""камызяки""""|""""камызяк""""|""""квн""""|""""камызякские псы""""|""""казах""""|""""где логика""""|""""big russian boss""""""","428058","5701","2918","927","https://i.ytimg.com/vi/KiUOuNjBzeI/default.jpg","false","false","false","""Четвёртый выпуск нового сезона Деньги или Позор на ТНТ4 с Азаматом Мусагалиевым! В этот раз разгорелся нешуточный баттл жёсткого юмора","ru"
"x_4hMHzJn8k","18.14.02","МИР БЕЗ ХАЙПА [Потерявшийся в Джакузи]","Юрий Хованский","23","2018-02-13T12:42:35.000Z","""хованский|""""юрий хованский""""|""""юмор""""|""""russianstandup""""|""""хованский лайв""""|""""потерявшийся в джакузи""""|""""сериал""""|""""хайп""""|""""мир без хайпа""""""","191582","18337","3193","1329","https://i.ytimg.com/vi/x_4hMHzJn8k/default.jpg","false","false","false","""В новом выпуске сериала Потерявшийся в Джакузи Хованский попадает в мир","ru"
"E2BxrZfivkQ","18.14.02","Индонезийские ШАШЛЫ В БЛЕНДЕРЕ!","oblomoff","24","2018-02-13T12:00:03.000Z","""на огне|""""барбекю""""|""""славный друже""""|""""сочное мясо""""|""""курица""""|""""шашлыки""""|""""шашлыки на углях""""|""""шашлыки на огне""""|""""шашлык из курицы""""|""""шампуры из лемонграса""""|""""лемонграс""""|""""индонезийский рецепт""""|""""готовим на бали""""|""""славноебали""""|""""славныебали""""|""""рецепт на углях""""|""""маринад для курицы""""|""""кебаб""""|""""люля кебаб""""|""""кебаб в блендере""""|""""кебаб топориками""""|""""подача шашлыка""""""","324309","18305","716","1340","https://i.ytimg.com/vi/E2BxrZfivkQ/default.jpg","false","false","false","""Всемайки.ру https://goo.gl/AH3Kbx \nПромокод OBLOMOFF на скидку 10%\nОтличные подарки на 14","ru"
"3K-SHQ5onAQ","18.14.02","ТРЭШ-ОБЗОР: Суд присяжных (Цирк на федеральном ТВ!)","Chuck_review","1","2018-02-12T13:58:54.000Z","""чак|""""обзор""""|""""трэш""""|""""час суда""""|""""badcomedian""""|""""UTOPIA Show""""|""""шиперы""""|""""старики""""|""""шок""""|""""топ 10""""|""""шокирующих""""|""""правда""""|""""соколовский""""|""""скандал""""|""""полностью оправдан""""|""""нтв смотреть""""""","526671","61992","2062","5874","https://i.ytimg.com/vi/3K-SHQ5onAQ/default.jpg","false","false","false","""Кино на потолке: https://goo.gl/SCqVyh \nПокупай проектор","ru"
"yemc5FarLXU","18.14.02","Поздравление с Днём всех влюблённых","This is Хорошо","24","2018-02-14T04:00:04.000Z","""this is хорошо|""""Стас Давыдов""""|""""и это хорошо""""|""""это хорошо""""|""""обзор видео""""|""""выпуск""""|""""новый""""|""""НОВЫЙ""""|""""новый выпуск""""|""""лучшее""""|""""за неделю""""|""""на ютубе""""|""""на youtube""""|""""реакция""""|""""РЕАКЦИЯ""""|""""смешное видео""""|""""приколы""""|""""угар""""|""""2018""""|""""поздравление""""|""""клип""""|""""день святого валентина""""|""""14 февраля""""|""""день влюбленных""""|""""святой валентин""""|""""this is horosho""""""","46989","4501","201","187","https://i.ytimg.com/vi/yemc5FarLXU/default.jpg","false","false","false","Клип: https://www.youtube.com/watch?v=M86Wgryxdm8\n\n📣 Видео и “И это хорошо!” слать сюда: http://thisishorosho.ru/prislat\n📣 По вопросам сотрудничества: business@machinegunmedia.com\n\n◆Официальный сайт: http://thisishorosho.ru\n◆Instagram: https://www.instagram.com/thisishoroshoofficial/\n◆Telegram: https://t.me/tixchannel\n◆ВК: http://vk.com/thisishorosho\n◆Твиттер: http://www.twitter.com/thisishorosho\n◆Twitch: https://twitch.tv/frustream \n◆Facebook: http://fb.com/thisishorosho","ru"
"K718wz6Tgc8","18.14.02","Мужское / Женское. Заказное убийство. Часть 1.  Выпуск от 13.02.2018","Первый канал","29","2018-02-13T16:02:58.000Z","""Семья|""""Александр Гордон""""|""""Юлия Барановская""""|""""помощь""""|""""семья""""|""""горе""""|""""ведущий""""|""""ведущая""""|""""убийство""""|""""бизнесмен""""|""""жена""""|""""расследование""""|""""преступление""""|""""Мужское / Женское.""""""","209444","1125","287","0","https://i.ytimg.com/vi/K718wz6Tgc8/default.jpg","true","false","false","""Три года назад жителей Димитровграда Ульяновской области потрясло жестокое убийство. В подъезде собственного дома был застрелен известный в городе бизнесмен Амиран Алоян. Расследование длится до сих пор","ru"
"sWGMztzvSZ4","18.14.02","""Близкие убитых в Сирии бойцов ЧВК «Вагнера» рассказали"," как убивали их родных""",,"25","2018-02-13T13:44:12.000Z",,"174420","2257","1303","3279",,"false","false","FALSE","ru"
